original_index,H2O,CO2,O2,N2,CH4,N2O,CO,O3,SO2,NH3,C2H6,NO2
11,0.0073251173474938,0.3937027002979854,0.2218959689572339,0.3307379721734972,0.0377230971674432,0.0017317056909871,0.0031136962119406,0.0001259578314841,0.0008387125432259,0.0027085291059938,9.11165091457e-05,5.4261635686e-06
30,0.0080579870008109,0.4445436118078621,0.2090041930581825,0.28685784863074,0.0399164104170093,0.0036469763955941,0.0017073784834227,0.0007035678224361,0.0034196023292409,0.0020764333180153,6.29124168906e-05,3.078319795e-06
336,0.0057205648468754,0.3393946638724175,0.2607435602045548,0.3607858418645306,0.0217891026409232,0.0025122088906882,0.0045256894668185,0.0005584783392966,0.0008680177566269,0.0030417031362005,5.62563220733e-05,3.9126589942e-06
462,0.0087523362917343,0.4037780410813852,0.1813232861580735,0.3725465084513726,0.0234177776599643,0.0012766721409153,0.003925566016162,0.0005088080060614,0.0011041912783775,0.0032097450796745,0.0001505748171174,6.4930191614e-06
